run,timestamp_ms,target_rpm,raw_rpm,filtered_rpm,error_rpm,pi_output,pwm_duty,motor_current,encoder_count,state,fault_flags
,3190,150.0,152.41,151.07,-1.07,7.22,7.22,0.016,11954,3,0
,3200,150.0,148.4,151.07,-1.07,9.47,9.47,0.044,11991,3,0
,3210,150.0,148.4,149.73,0.27,9.71,9.71,0.046,12028,3,0
,3220,150.0,148.4,148.4,1.6,9.95,9.95,0.049,12065,3,0
,3230,150.0,152.41,149.73,0.27,7.58,7.58,0.02,12103,3,0
,3240,150.0,148.4,149.73,0.27,9.83,9.83,0.047,12140,3,0
,3250,150.0,152.41,151.07,-1.07,7.46,7.46,0.018,12178,3,0
,3260,150.0,148.4,149.73,0.27,9.71,9.71,0.046,12215,3,0
,3270,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,12253,3,0
,3280,150.0,148.4,149.73,0.27,9.59,9.59,0.045,12290,3,0
,3290,150.0,148.4,149.73,0.27,9.83,9.83,0.047,12327,3,0
,3300,150.0,152.41,149.73,0.27,7.46,7.46,0.018,12365,3,0
,3310,150.0,148.4,149.73,0.27,9.71,9.71,0.046,12402,3,0
,3320,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,12440,3,0
,3330,150.0,148.4,149.73,0.27,9.59,9.59,0.045,12477,3,0
,3340,150.0,148.4,149.73,0.27,9.83,9.83,0.047,12514,3,0
,3350,150.0,152.41,149.73,0.27,7.46,7.46,0.018,12552,3,0
,3360,150.0,148.4,149.73,0.27,9.71,9.71,0.046,12589,3,0
,3370,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,12627,3,0
,3380,150.0,148.4,149.73,0.27,9.59,9.59,0.045,12664,3,0
,3390,150.0,148.4,149.73,0.27,9.83,9.83,0.047,12701,3,0
,3400,150.0,152.41,149.73,0.27,7.46,7.46,0.018,12739,3,0
,3410,150.0,148.4,149.73,0.27,9.71,9.71,0.046,12776,3,0
,3420,150.0,152.41,151.07,-1.07,7.34,7.34,0.017,12814,3,0
,3430,150.0,148.4,149.73,0.27,9.59,9.59,0.045,12851,3,0
,3440,150.0,148.4,149.73,0.27,9.83,9.83,0.047,12888,3,0
,3450,150.0,152.41,149.73,0.27,7.46,7.46,0.018,12926,3,0
,3460,150.0,148.4,149.73,0.27,9.71,9.71,0.046,12963,3,0
,3470,150.0,148.4,149.73,0.27,9.95,9.95,0.049,13000,3,0
,3480,150.0,152.41,149.73,0.27,7.58,7.58,0.02,13038,3,0
,3490,150.0,152.41,151.07,-1.07,7.22,7.22,0.016,13076,3,0
,3500,150.0,148.4,151.07,-1.07,9.47,9.47,0.044,13113,3,0
,3510,150.0,148.4,149.73,0.27,9.71,9.71,0.046,13150,3,0
