timestamp_ms,target_rpm,raw_encoder_count,raw_speed,filtered_speed,error_rpm,pi_output,pwm_duty,current,system_state,fault_flags,disturbance_active,applied_force_n,torque_nm,run_id
2110,150.0,7914,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
2120,150.0,7952,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
2130,150.0,7989,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
2140,150.0,8026,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
2150,150.0,8064,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
2160,150.0,8101,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
2170,150.0,8139,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
2180,150.0,8176,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
2190,150.0,8213,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
2200,150.0,8251,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
2210,150.0,8288,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
2220,150.0,8326,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
2230,150.0,8363,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
2240,150.0,8400,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
2250,150.0,8438,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
2260,150.0,8475,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
2270,150.0,8513,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
2280,150.0,8550,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
2290,150.0,8587,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
2300,150.0,8625,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
2310,150.0,8662,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
2320,150.0,8700,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
2330,150.0,8737,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
2340,150.0,8774,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
2350,150.0,8812,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
2360,150.0,8849,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
2370,150.0,8886,148.4,149.73,0.27,9.95,9.95,0.049,3,0,0,0.0,0.0,1
2380,150.0,8924,152.41,149.73,0.27,7.58,7.58,0.02,3,0,0,0.0,0.0,1
2390,150.0,8962,152.41,151.07,-1.07,7.22,7.22,0.016,3,0,0,0.0,0.0,1
2400,150.0,8999,148.4,151.07,-1.07,9.47,9.47,0.044,3,0,0,0.0,0.0,1
2410,150.0,9036,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
2420,150.0,9073,148.4,148.4,1.6,9.95,9.95,0.049,3,0,0,0.0,0.0,1
2430,150.0,9111,152.41,149.73,0.27,7.58,7.58,0.02,3,0,0,0.0,0.0,1
2440,150.0,9148,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
2450,150.0,9186,152.41,151.07,-1.07,7.46,7.46,0.018,3,0,0,0.0,0.0,1
2460,150.0,9223,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
2470,150.0,9261,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
2480,150.0,9298,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
2490,150.0,9336,152.41,151.07,-1.07,7.22,7.22,0.016,3,0,0,0.0,0.0,1
2500,150.0,9373,148.4,149.73,0.27,9.47,9.47,0.044,3,0,0,0.0,0.0,1
2510,150.0,9410,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
2520,150.0,9447,148.4,148.4,1.6,9.95,9.95,0.049,3,0,0,0.0,0.0,1
2530,150.0,9485,152.41,149.73,0.27,7.58,7.58,0.02,3,0,0,0.0,0.0,1
2540,150.0,9522,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
2550,150.0,9560,152.41,151.07,-1.07,7.46,7.46,0.018,3,0,0,0.0,0.0,1
2560,150.0,9597,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
2570,150.0,9635,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
2580,150.0,9672,148.4,149.73,0.27,9.59,9.59,0.045,3,0,0,0.0,0.0,1
2590,150.0,9709,148.4,149.73,0.27,9.83,9.83,0.047,3,0,0,0.0,0.0,1
2600,150.0,9747,152.41,149.73,0.27,7.46,7.46,0.018,3,0,0,0.0,0.0,1
2610,150.0,9784,148.4,149.73,0.27,9.71,9.71,0.046,3,0,0,0.0,0.0,1
2620,150.0,9822,152.41,151.07,-1.07,7.34,7.34,0.017,3,0,0,0.0,0.0,1
